"Material Request","Shipping Core","Arrangement","Warehouse Origen","Warehouse Destino","Total Transfer Job","Transfer Job Cerradas","Transfer Job Pendientes","Qty total","Items en Delivered","Avance","Arrangement Status","MR creation","MR required by","Arr in progress","Fecha arr done","tiempo total MR (h)","tiempo operativo (h)"
"MAT-REQ-2026-d1f1bbb5","Material Request-MAT-REQ-2026-d1f1bbb5-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 4564e5aa","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,366,"","","Cancelled","2026-04-21 00:15:57.614526","2026-04-26","2026-04-21 00:25:07.563617","-","336.50","336.35"
"MAT-REQ-2026-d3185c62","Material Request-MAT-REQ-2026-d3185c62-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-27 00:00:00 - 949fca90","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",670,"","","Cancelled","2026-04-22 00:14:06.824949","2026-04-27","","-","312.53","-"
"MAT-REQ-2026-d8afc682","Material Request-MAT-REQ-2026-d8afc682-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 154739d8","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",206,"","","Cancelled","2026-04-21 00:15:45.713583","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-d96a6987","Material Request-MAT-REQ-2026-d96a6987-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 8610e318","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,422,"","","Cancelled","2026-04-21 00:16:00.645822","2026-04-26","2026-04-21 00:35:11.131979","-","336.50","336.18"
"MAT-REQ-2026-da34c18d","Material Request-MAT-REQ-2026-da34c18d-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-27 00:00:00 - 2083e46b","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",370,"","","Cancelled","2026-04-22 00:14:06.599533","2026-04-27","","-","312.53","-"
"MAT-REQ-2026-dc0997b3","Material Request-MAT-REQ-2026-dc0997b3-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-02 00:00:00 - c7bb14a4","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",35,"","","Cancelled","2026-04-27 14:38:42.290166","2026-05-02","","-","178.12","-"
"MAT-REQ-2026-e004214c","Material Request-MAT-REQ-2026-e004214c-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 38ac5ece","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",28,"",28,516,"","","In progress","2026-05-04 00:19:02.056622","2026-05-09","2026-05-04 00:20:20.680390","-","24.45","24.43"
"MAT-REQ-2026-e0cd57ef","Material Request-MAT-REQ-2026-e0cd57ef-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - abdbc1d3","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,208,"","","In progress","2026-05-04 00:19:07.854940","2026-05-09","2026-05-04 00:23:31.962309","-","24.45","24.38"
"MAT-REQ-2026-e4579d90","Material Request-MAT-REQ-2026-e4579d90-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 4b31da96","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",278,"","","Failed","2026-05-04 00:19:05.209352","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-e4e174ed","Material Request-MAT-REQ-2026-e4e174ed-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-29 00:00:00 - f7865acd","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",412,"","","Cancelled","2026-04-24 00:17:07.148912","2026-04-29","","-","264.48","-"
"MAT-REQ-2026-e5f9140f","Material Request-MAT-REQ-2026-e5f9140f-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 2a97f9e1","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,186,"","","Cancelled","2026-04-21 00:15:45.732247","2026-04-26","2026-04-21 12:22:18.476463","-","336.51","324.40"
"MAT-REQ-2026-e64564b1","Material Request-MAT-REQ-2026-e64564b1-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - b3b3d2d0","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",1836,"","","Cancelled","2026-04-21 00:15:54.695868","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-e71fb9b8","Material Request-MAT-REQ-2026-e71fb9b8-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 514bb249","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",27,"",27,208,"","","In progress","2026-05-04 00:19:12.926847","2026-05-09","2026-05-04 00:25:27.928347","-","24.45","24.34"
"MAT-REQ-2026-ea3aa860","Material Request-MAT-REQ-2026-ea3aa860-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - aaac6837","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",596,"","","Failed","2026-05-04 00:19:12.267242","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-ea647103","Material Request-MAT-REQ-2026-ea647103-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 1ee2ec9c","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",154,"","","Cancelled","2026-04-21 00:15:58.817399","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-eb8eb9f9","Material Request-MAT-REQ-2026-eb8eb9f9-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 75f192ad","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",688,"","","Failed","2026-05-04 00:19:04.109324","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-ef996ebe","Material Request-MAT-REQ-2026-ef996ebe-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - bb74052e","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",474,"","","Failed","2026-05-04 00:19:14.662444","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-f317ba15","Material Request-MAT-REQ-2026-f317ba15-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - c0193b9e","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",169,"","","Cancelled","2026-04-21 00:15:54.844262","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-f4c6e243","Material Request-MAT-REQ-2026-f4c6e243-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 79fef940","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",164,"","","Failed","2026-05-04 00:19:15.331804","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-f8827299","Material Request-MAT-REQ-2026-f8827299-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-29 00:00:00 - 55a24083","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",272,"","","Cancelled","2026-04-24 00:17:08.648150","2026-04-29","","-","264.48","-"
"MAT-REQ-2026-fc572d59","Material Request-MAT-REQ-2026-fc572d59-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 89add3f2","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",27,"",27,208,"","","Cancelled","2026-04-21 00:15:58.494264","2026-04-26","2026-04-21 00:36:34.630787","-","336.50","336.16"
"MAT-REQ-2026-fdcc801c","Material Request-MAT-REQ-2026-fdcc801c-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 2db33c23","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",279,"","","Cancelled","2026-04-21 00:15:56.342001","2026-04-26","","-","336.50","-"
